Start state index,Action index,Finish state index,Probability for Triple,Reward for Triple,Prob x Reward
9,0.017857107142874997,7.666666666666663,2.4017811866666667,0.13690448809537492,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 2, 16, 0, 3, 0, 3, 0, 18, 2, 18]"
10,0.002232140625,7.904760666666669,2.332633390961016,0.017644537414968756,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 21, 0, 21, 0, 0, 2, 0]"
11,0.017857107142874997,7.333333333333335,2.511007853333334,0.13095211904775,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 0, 3, 0, 3, 2, 3, 0, 3]"
12,0.00446428125,7.5515861666666675,2.33316599822319,0.03371240453160938,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 21, 2, 21, 2, 21, 0, 0]"
13,0.00446428125,7.591268500000002,2.3352964272718855,0.033889557628265635,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 2, 21, 0, 21, 0, 21, 2, 21]"
14,0.017857107142874997,7.66666666666667,2.647541186666667,0.13690448809537503,"[19, 0, 9, 2, 6, 0, 16, 0, 3, 2, 3, 2, 3, 0, 3, 0, 24, 2, 24]"
15,0.005102030612250001,7.119048166667837,1.9885549973333303,0.03632160167642155,"[19, 0, 19, 0, 10, 2, 12, 2, 20, 0, 20, 0, 20, 0, 7, 2, 7, 2, 7, 0, 4]"
16,0.035714214285749994,7.33333333333333,2.511007853333333,0.26190423809549984,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 2, 3, 0, 18, 2, 18, 2, 18]"
17,0.0089285625,7.345237166666666,2.350842018058616,0.06558240911990625,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 0, 21, 2, 21, 0, 0, 2, 0, 0, 17, 2, 17]"
18,0.017857107142874997,7.66666666666667,2.5110078533333335,0.13690448809537503,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 0, 3, 2, 3, 2, 3, 0, 24]"
19,0.017857107142874997,7.666666666666664,2.5110078533333335,0.13690448809537495,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 2, 3, 2, 3, 0, 3, 0, 18]"
20,0.035714214285749994,7.333333333333331,2.5110078533333335,0.2619042380954999,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 2, 3, 2, 3, 0, 18, 2, 18]"
21,0.0089285625,7.3452371666666645,2.3516742169057627,0.06558240911990623,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 14, 0, 21, 2, 21, 2, 21, 0, 0, 0, 17, 2, 17]"
22,0.005102025510219387,7.500001166667834,1.7402814587733346,0.03826519727901446,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 2, 15, 0, 15, 0, 15]"
23,0.00446428125,7.591268500000002,2.3352964272718855,0.033889557628265635,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 21, 0, 21, 2, 21, 2, 21]"
24,0.010204051020438774,7.166667833334501,1.7402814587733346,0.07312904421788266,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 0, 15, 2, 15, 2, 15, 0, 15, 2, 15]"
25,0.00446428125,7.591268500000002,2.3352964272718855,0.033889557628265635,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 21, 2, 21, 0, 21, 2, 21]"
26,0.00446428125,7.698411666666668,2.350842018058616,0.03436787485828126,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 0, 21, 0, 21, 0, 0, 2, 0, 0, 17, 2, 17]"
27,0.017857107142874997,7.66666666666667,2.401781186666667,0.13690448809537503,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 2, 16, 0, 3, 0, 3, 0, 24, 2, 24]"
28,0.008928553571437499,7.999999999999997,2.5110078533333335,0.07142842857149996,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 0, 3, 0, 3, 0, 18, 2, 18]"
29,0.00446428125,7.698411666666668,2.3516742169057627,0.03436787485828126,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 0, 21, 0, 21, 2, 21, 0, 0, 0, 17, 2, 17]"
30,0.03571425,6.638888166666665,2.3468760704276828,0.23710291170637496,"[19, 0, 1, 0, 2, 2, 14, 0, 21, 0, 0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 17, 2, 17]"
31,0.017857107142874997,7.666666666666665,2.6475411866666674,0.13690448809537495,"[19, 0, 9, 2, 22, 0, 16, 0, 3, 2, 3, 2, 3, 0, 3, 0, 18, 2, 18]"
32,0.017857125,6.9920626666666665,2.350842018058616,0.1248581370465,"[19, 0, 1, 0, 2, 2, 14, 0, 21, 2, 21, 2, 21, 0, 21, 0, 0, 2, 0, 0, 17, 2, 17]"
33,0.0025510153061250006,7.452381500001168,1.9885549973333299,0.019011139273585772,"[19, 0, 19, 0, 10, 2, 12, 2, 20, 0, 20, 0, 20, 0, 20, 0, 7, 2, 7, 0, 4]"
34,0.004464276785718749,8.333333333333332,2.511007853333334,0.03720230654765624,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 0, 3, 0, 3, 0, 3, 0, 18]"
35,0.010204051020438774,7.166667833334502,1.7402814587733346,0.07312904421788266,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 2, 15, 2, 15, 0, 11]"
36,0.017857107142874997,7.666666666666668,2.4017811866666667,0.136904488095375,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 2, 16, 0, 3, 0, 3, 0, 24, 2, 24]"
37,0.008928553571437499,7.999999999999997,2.647541186666667,0.07142842857149996,"[19, 0, 9, 2, 6, 0, 16, 0, 3, 0, 3, 2, 3, 0, 3, 0, 18, 2, 18]"
38,0.00446428125,7.698411666666668,2.3483986589789874,0.03436787485828126,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 2, 21, 0, 21, 0, 0, 0, 17]"
39,0.035714214285749994,7.000000000000001,2.5110078533333335,0.24999950000024998,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 2, 3, 0, 3, 2, 3, 0, 3]"
40,0.010204051020438774,7.833334500001169,1.822786913706668,0.07993174489817519,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 0, 15, 2, 15, 2, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
